--------------------Report--------------------
[0]  master A: 2  master B: 2  master ALUControl: 0  master result: 2  slave result: 2      correct? 1
[7169]  master A: 14322  master B: 21465  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7170]  master A: 14324  master B: 21468  master ALUControl: 0  master result: 5076  slave result: 5076      correct? 1
[7171]  master A: 14326  master B: 21471  master ALUControl: 1  master result: 25641  slave result: 25641      correct? 1
[7172]  master A: 14328  master B: 21474  master ALUControl: 2  master result: 4294960150  slave result: 4294960150      correct? 1
[7173]  master A: 14330  master B: 21477  master ALUControl: 3  master result: 4294960149  slave result: 35807      correct? 0
[7174]  master A: 14332  master B: 21480  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7175]  master A: 14334  master B: 21483  master ALUControl: 5  master result: 4294936576  slave result: 4294936576      correct? 1
[7176]  master A: 14336  master B: 21486  master ALUControl: 6  master result: 4294936576  slave result: 4294936576      correct? 1
[7177]  master A: 14338  master B: 21489  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7178]  master A: 14340  master B: 21492  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7179]  master A: 14342  master B: 21495  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7180]  master A: 14344  master B: 21498  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7181]  master A: 14346  master B: 21501  master ALUControl: 11  master result: 114768  slave result: 114768      correct? 1
[7182]  master A: 14348  master B: 21504  master ALUControl: 12  master result: 27660  slave result: 27660      correct? 1
[7183]  master A: 14350  master B: 21507  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7184]  master A: 14352  master B: 21510  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7185]  master A: 14354  master B: 21513  master ALUControl: 0  master result: 4096  slave result: 4096      correct? 1
[7186]  master A: 14356  master B: 21516  master ALUControl: 1  master result: 27672  slave result: 27672      correct? 1
[7187]  master A: 14358  master B: 21519  master ALUControl: 2  master result: 4294960135  slave result: 4294960135      correct? 1
[7188]  master A: 14360  master B: 21522  master ALUControl: 3  master result: 4294960134  slave result: 35882      correct? 0
[7189]  master A: 14362  master B: 21525  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7190]  master A: 14364  master B: 21528  master ALUControl: 5  master result: 4294935523  slave result: 4294935523      correct? 1
[7191]  master A: 14366  master B: 21531  master ALUControl: 6  master result: 4294935523  slave result: 4294935523      correct? 1
[7192]  master A: 14368  master B: 21534  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7193]  master A: 14370  master B: 21537  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7194]  master A: 14372  master B: 21540  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7195]  master A: 14374  master B: 21543  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7196]  master A: 14376  master B: 21546  master ALUControl: 11  master result: 167772174  slave result: 167772174      correct? 1
[7197]  master A: 14378  master B: 21549  master ALUControl: 12  master result: 27655  slave result: 27655      correct? 1
[7198]  master A: 14380  master B: 21552  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7199]  master A: 14382  master B: 21555  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7200]  master A: 14384  master B: 21558  master ALUControl: 0  master result: 4144  slave result: 4144      correct? 1
[7201]  master A: 14386  master B: 21561  master ALUControl: 1  master result: 27659  slave result: 27659      correct? 1
[7202]  master A: 14388  master B: 21564  master ALUControl: 2  master result: 4294960120  slave result: 4294960120      correct? 1
[7203]  master A: 14390  master B: 21567  master ALUControl: 3  master result: 4294960119  slave result: 35957      correct? 0
[7204]  master A: 14392  master B: 21570  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7205]  master A: 14394  master B: 21573  master ALUControl: 5  master result: 4294935424  slave result: 4294935424      correct? 1
[7206]  master A: 14396  master B: 21576  master ALUControl: 6  master result: 4294935424  slave result: 4294935424      correct? 1
[7207]  master A: 14398  master B: 21579  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7208]  master A: 14400  master B: 21582  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7209]  master A: 14402  master B: 21585  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7210]  master A: 14404  master B: 21588  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7211]  master A: 14406  master B: 21591  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[7212]  master A: 14408  master B: 21594  master ALUControl: 12  master result: 27666  slave result: 27666      correct? 1
[7213]  master A: 14410  master B: 21597  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7214]  master A: 14412  master B: 21600  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7215]  master A: 14414  master B: 21603  master ALUControl: 0  master result: 4162  slave result: 4162      correct? 1
[7216]  master A: 14416  master B: 21606  master ALUControl: 1  master result: 27702  slave result: 27702      correct? 1
[7217]  master A: 14418  master B: 21609  master ALUControl: 2  master result: 4294960105  slave result: 4294960105      correct? 1
[7218]  master A: 14420  master B: 21612  master ALUControl: 3  master result: 4294960104  slave result: 36032      correct? 0
[7219]  master A: 14422  master B: 21615  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7220]  master A: 14424  master B: 21618  master ALUControl: 5  master result: 4294935429  slave result: 4294935429      correct? 1
[7221]  master A: 14426  master B: 21621  master ALUControl: 6  master result: 4294935429  slave result: 4294935429      correct? 1
[7222]  master A: 14428  master B: 21624  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7223]  master A: 14430  master B: 21627  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7224]  master A: 14432  master B: 21630  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7225]  master A: 14434  master B: 21633  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7226]  master A: 14436  master B: 21636  master ALUControl: 11  master result: 902  slave result: 902      correct? 1
[7227]  master A: 14438  master B: 21639  master ALUControl: 12  master result: 27873  slave result: 27873      correct? 1
[7228]  master A: 14440  master B: 21642  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7229]  master A: 14442  master B: 21645  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7230]  master A: 14444  master B: 21648  master ALUControl: 0  master result: 4096  slave result: 4096      correct? 1
[7231]  master A: 14446  master B: 21651  master ALUControl: 1  master result: 27901  slave result: 27901      correct? 1
[7232]  master A: 14448  master B: 21654  master ALUControl: 2  master result: 4294960090  slave result: 4294960090      correct? 1
[7233]  master A: 14450  master B: 21657  master ALUControl: 3  master result: 4294960089  slave result: 36107      correct? 0
[7234]  master A: 14452  master B: 21660  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7235]  master A: 14454  master B: 21663  master ALUControl: 5  master result: 4294935296  slave result: 4294935296      correct? 1
[7236]  master A: 14456  master B: 21666  master ALUControl: 6  master result: 4294935296  slave result: 4294935296      correct? 1
[7237]  master A: 14458  master B: 21669  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7238]  master A: 14460  master B: 21672  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7239]  master A: 14462  master B: 21675  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7240]  master A: 14464  master B: 21678  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7241]  master A: 14466  master B: 21681  master ALUControl: 11  master result: 474021888  slave result: 474021888      correct? 1
[7242]  master A: 14468  master B: 21684  master ALUControl: 12  master result: 27696  slave result: 27696      correct? 1
[7243]  master A: 14470  master B: 21687  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7244]  master A: 14472  master B: 21690  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7245]  master A: 14474  master B: 21693  master ALUControl: 0  master result: 4232  slave result: 4232      correct? 1
[7246]  master A: 14476  master B: 21696  master ALUControl: 1  master result: 27724  slave result: 27724      correct? 1
[7247]  master A: 14478  master B: 21699  master ALUControl: 2  master result: 4294960075  slave result: 4294960075      correct? 1
[7248]  master A: 14480  master B: 21702  master ALUControl: 3  master result: 4294960074  slave result: 36182      correct? 0
[7249]  master A: 14482  master B: 21705  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7250]  master A: 14484  master B: 21708  master ALUControl: 5  master result: 4294935331  slave result: 4294935331      correct? 1
[7251]  master A: 14486  master B: 21711  master ALUControl: 6  master result: 4294935331  slave result: 4294935331      correct? 1
[7252]  master A: 14488  master B: 21714  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7253]  master A: 14490  master B: 21717  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7254]  master A: 14492  master B: 21720  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7255]  master A: 14494  master B: 21723  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7256]  master A: 14496  master B: 21726  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[7257]  master A: 14498  master B: 21729  master ALUControl: 12  master result: 27715  slave result: 27715      correct? 1
[7258]  master A: 14500  master B: 21732  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7259]  master A: 14502  master B: 21735  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7260]  master A: 14504  master B: 21738  master ALUControl: 0  master result: 4264  slave result: 4264      correct? 1
[7261]  master A: 14506  master B: 21741  master ALUControl: 1  master result: 27719  slave result: 27719      correct? 1
[7262]  master A: 14508  master B: 21744  master ALUControl: 2  master result: 4294960060  slave result: 4294960060      correct? 1
[7263]  master A: 14510  master B: 21747  master ALUControl: 3  master result: 4294960059  slave result: 36257      correct? 0
[7264]  master A: 14512  master B: 21750  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7265]  master A: 14514  master B: 21753  master ALUControl: 5  master result: 4294935300  slave result: 4294935300      correct? 1
[7266]  master A: 14516  master B: 21756  master ALUControl: 6  master result: 4294935300  slave result: 4294935300      correct? 1
[7267]  master A: 14518  master B: 21759  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7268]  master A: 14520  master B: 21762  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7269]  master A: 14522  master B: 21765  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7270]  master A: 14524  master B: 21768  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7271]  master A: 14526  master B: 21771  master ALUControl: 11  master result: 7  slave result: 7      correct? 1
[7272]  master A: 14528  master B: 21774  master ALUControl: 12  master result: 28110  slave result: 28110      correct? 1
[7273]  master A: 14530  master B: 21777  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7274]  master A: 14532  master B: 21780  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7275]  master A: 14534  master B: 21783  master ALUControl: 0  master result: 4102  slave result: 4102      correct? 1
[7276]  master A: 14536  master B: 21786  master ALUControl: 1  master result: 28114  slave result: 28114      correct? 1
[7277]  master A: 14538  master B: 21789  master ALUControl: 2  master result: 4294960045  slave result: 4294960045      correct? 1
[7278]  master A: 14540  master B: 21792  master ALUControl: 3  master result: 4294960044  slave result: 36332      correct? 0
[7279]  master A: 14542  master B: 21795  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7280]  master A: 14544  master B: 21798  master ALUControl: 5  master result: 4294935049  slave result: 4294935049      correct? 1
[7281]  master A: 14546  master B: 21801  master ALUControl: 6  master result: 4294935049  slave result: 4294935049      correct? 1
[7282]  master A: 14548  master B: 21804  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7283]  master A: 14550  master B: 21807  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7284]  master A: 14552  master B: 21810  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7285]  master A: 14554  master B: 21813  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7286]  master A: 14556  master B: 21816  master ALUControl: 11  master result: 3726336  slave result: 3726336      correct? 1
[7287]  master A: 14558  master B: 21819  master ALUControl: 12  master result: 28133  slave result: 28133      correct? 1
[7288]  master A: 14560  master B: 21822  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7289]  master A: 14562  master B: 21825  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7290]  master A: 14564  master B: 21828  master ALUControl: 0  master result: 4164  slave result: 4164      correct? 1
[7291]  master A: 14566  master B: 21831  master ALUControl: 1  master result: 28065  slave result: 28065      correct? 1
[7292]  master A: 14568  master B: 21834  master ALUControl: 2  master result: 4294960030  slave result: 4294960030      correct? 1
[7293]  master A: 14570  master B: 21837  master ALUControl: 3  master result: 4294960029  slave result: 36407      correct? 0
[7294]  master A: 14572  master B: 21840  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7295]  master A: 14574  master B: 21843  master ALUControl: 5  master result: 4294935040  slave result: 4294935040      correct? 1
[7296]  master A: 14576  master B: 21846  master ALUControl: 6  master result: 4294935040  slave result: 4294935040      correct? 1
[7297]  master A: 14578  master B: 21849  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7298]  master A: 14580  master B: 21852  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7299]  master A: 14582  master B: 21855  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7300]  master A: 14584  master B: 21858  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7301]  master A: 14586  master B: 21861  master ALUControl: 11  master result: 3489661383  slave result: 3489661383      correct? 1
[7302]  master A: 14588  master B: 21864  master ALUControl: 12  master result: 28052  slave result: 28052      correct? 1
[7303]  master A: 14590  master B: 21867  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7304]  master A: 14592  master B: 21870  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7305]  master A: 14594  master B: 21873  master ALUControl: 0  master result: 4352  slave result: 4352      correct? 1
[7306]  master A: 14596  master B: 21876  master ALUControl: 1  master result: 27760  slave result: 27760      correct? 1
[7307]  master A: 14598  master B: 21879  master ALUControl: 2  master result: 4294960015  slave result: 4294960015      correct? 1
[7308]  master A: 14600  master B: 21882  master ALUControl: 3  master result: 4294960014  slave result: 36482      correct? 0
[7309]  master A: 14602  master B: 21885  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7310]  master A: 14604  master B: 21888  master ALUControl: 5  master result: 4294935155  slave result: 4294935155      correct? 1
[7311]  master A: 14606  master B: 21891  master ALUControl: 6  master result: 4294935155  slave result: 4294935155      correct? 1
[7312]  master A: 14608  master B: 21894  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7313]  master A: 14610  master B: 21897  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7314]  master A: 14612  master B: 21900  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7315]  master A: 14614  master B: 21903  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7316]  master A: 14616  master B: 21906  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[7317]  master A: 14618  master B: 21909  master ALUControl: 12  master result: 27791  slave result: 27791      correct? 1
[7318]  master A: 14620  master B: 21912  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7319]  master A: 14622  master B: 21915  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7320]  master A: 14624  master B: 21918  master ALUControl: 0  master result: 4352  slave result: 4352      correct? 1
[7321]  master A: 14626  master B: 21921  master ALUControl: 1  master result: 27779  slave result: 27779      correct? 1
[7322]  master A: 14628  master B: 21924  master ALUControl: 2  master result: 4294960000  slave result: 4294960000      correct? 1
[7323]  master A: 14630  master B: 21927  master ALUControl: 3  master result: 4294959999  slave result: 36557      correct? 0
[7324]  master A: 14632  master B: 21930  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7325]  master A: 14634  master B: 21933  master ALUControl: 5  master result: 4294935120  slave result: 4294935120      correct? 1
[7326]  master A: 14636  master B: 21936  master ALUControl: 6  master result: 4294935120  slave result: 4294935120      correct? 1
[7327]  master A: 14638  master B: 21939  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7328]  master A: 14640  master B: 21942  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7329]  master A: 14642  master B: 21945  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7330]  master A: 14644  master B: 21948  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7331]  master A: 14646  master B: 21951  master ALUControl: 11  master result: 29292  slave result: 29292      correct? 1
[7332]  master A: 14648  master B: 21954  master ALUControl: 12  master result: 27898  slave result: 27898      correct? 1
[7333]  master A: 14650  master B: 21957  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7334]  master A: 14652  master B: 21960  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7335]  master A: 14654  master B: 21963  master ALUControl: 0  master result: 4362  slave result: 4362      correct? 1
[7336]  master A: 14656  master B: 21966  master ALUControl: 1  master result: 27790  slave result: 27790      correct? 1
[7337]  master A: 14658  master B: 21969  master ALUControl: 2  master result: 4294959985  slave result: 4294959985      correct? 1
[7338]  master A: 14660  master B: 21972  master ALUControl: 3  master result: 4294959984  slave result: 36632      correct? 0
[7339]  master A: 14662  master B: 21975  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7340]  master A: 14664  master B: 21978  master ALUControl: 5  master result: 4294935077  slave result: 4294935077      correct? 1
[7341]  master A: 14666  master B: 21981  master ALUControl: 6  master result: 4294935077  slave result: 4294935077      correct? 1
[7342]  master A: 14668  master B: 21984  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7343]  master A: 14670  master B: 21987  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7344]  master A: 14672  master B: 21990  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7345]  master A: 14674  master B: 21993  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7346]  master A: 14676  master B: 21996  master ALUControl: 11  master result: 2503999491  slave result: 2503999491      correct? 1
[7347]  master A: 14678  master B: 21999  master ALUControl: 12  master result: 27833  slave result: 27833      correct? 1
[7348]  master A: 14680  master B: 22002  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7349]  master A: 14682  master B: 22005  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7350]  master A: 14684  master B: 22008  master ALUControl: 0  master result: 4440  slave result: 4440      correct? 1
[7351]  master A: 14686  master B: 22011  master ALUControl: 1  master result: 27813  slave result: 27813      correct? 1
[7352]  master A: 14688  master B: 22014  master ALUControl: 2  master result: 4294959970  slave result: 4294959970      correct? 1
[7353]  master A: 14690  master B: 22017  master ALUControl: 3  master result: 4294959969  slave result: 36707      correct? 0
[7354]  master A: 14692  master B: 22020  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7355]  master A: 14694  master B: 22023  master ALUControl: 5  master result: 4294934680  slave result: 4294934680      correct? 1
[7356]  master A: 14696  master B: 22026  master ALUControl: 6  master result: 4294934680  slave result: 4294934680      correct? 1
[7357]  master A: 14698  master B: 22029  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7358]  master A: 14700  master B: 22032  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7359]  master A: 14702  master B: 22035  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7360]  master A: 14704  master B: 22038  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7361]  master A: 14706  master B: 22041  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[7362]  master A: 14708  master B: 22044  master ALUControl: 12  master result: 28520  slave result: 28520      correct? 1
[7363]  master A: 14710  master B: 22047  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7364]  master A: 14712  master B: 22050  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7365]  master A: 14714  master B: 22053  master ALUControl: 0  master result: 4128  slave result: 4128      correct? 1
[7366]  master A: 14716  master B: 22056  master ALUControl: 1  master result: 28500  slave result: 28500      correct? 1
[7367]  master A: 14718  master B: 22059  master ALUControl: 2  master result: 4294959955  slave result: 4294959955      correct? 1
[7368]  master A: 14720  master B: 22062  master ALUControl: 3  master result: 4294959954  slave result: 36782      correct? 0
[7369]  master A: 14722  master B: 22065  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7370]  master A: 14724  master B: 22068  master ALUControl: 5  master result: 4294934603  slave result: 4294934603      correct? 1
[7371]  master A: 14726  master B: 22071  master ALUControl: 6  master result: 4294934603  slave result: 4294934603      correct? 1
[7372]  master A: 14728  master B: 22074  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7373]  master A: 14730  master B: 22077  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7374]  master A: 14732  master B: 22080  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7375]  master A: 14734  master B: 22083  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7376]  master A: 14736  master B: 22086  master ALUControl: 11  master result: 230  slave result: 230      correct? 1
[7377]  master A: 14738  master B: 22089  master ALUControl: 12  master result: 28635  slave result: 28635      correct? 1
[7378]  master A: 14740  master B: 22092  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7379]  master A: 14742  master B: 22095  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7380]  master A: 14744  master B: 22098  master ALUControl: 0  master result: 4112  slave result: 4112      correct? 1
[7381]  master A: 14746  master B: 22101  master ALUControl: 1  master result: 28623  slave result: 28623      correct? 1
[7382]  master A: 14748  master B: 22104  master ALUControl: 2  master result: 4294959940  slave result: 4294959940      correct? 1
[7383]  master A: 14750  master B: 22107  master ALUControl: 3  master result: 4294959939  slave result: 36857      correct? 0
[7384]  master A: 14752  master B: 22110  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7385]  master A: 14754  master B: 22113  master ALUControl: 5  master result: 4294934556  slave result: 4294934556      correct? 1
[7386]  master A: 14756  master B: 22116  master ALUControl: 6  master result: 4294934556  slave result: 4294934556      correct? 1
[7387]  master A: 14758  master B: 22119  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7388]  master A: 14760  master B: 22122  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7389]  master A: 14762  master B: 22125  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7390]  master A: 14764  master B: 22128  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7391]  master A: 14766  master B: 22131  master ALUControl: 11  master result: 120963072  slave result: 120963072      correct? 1
[7392]  master A: 14768  master B: 22134  master ALUControl: 12  master result: 28614  slave result: 28614      correct? 1
[7393]  master A: 14770  master B: 22137  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7394]  master A: 14772  master B: 22140  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7395]  master A: 14774  master B: 22143  master ALUControl: 0  master result: 4150  slave result: 4150      correct? 1
[7396]  master A: 14776  master B: 22146  master ALUControl: 1  master result: 28474  slave result: 28474      correct? 1
[7397]  master A: 14778  master B: 22149  master ALUControl: 2  master result: 4294959925  slave result: 4294959925      correct? 1
[7398]  master A: 14780  master B: 22152  master ALUControl: 3  master result: 4294959924  slave result: 36932      correct? 0
[7399]  master A: 14782  master B: 22155  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7400]  master A: 14784  master B: 22158  master ALUControl: 5  master result: 4294934577  slave result: 4294934577      correct? 1
[7401]  master A: 14786  master B: 22161  master ALUControl: 6  master result: 4294934577  slave result: 4294934577      correct? 1
[7402]  master A: 14788  master B: 22164  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7403]  master A: 14790  master B: 22167  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7404]  master A: 14792  master B: 22170  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7405]  master A: 14794  master B: 22173  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7406]  master A: 14796  master B: 22176  master ALUControl: 11  master result: 14796  slave result: 14796      correct? 1
[7407]  master A: 14798  master B: 22179  master ALUControl: 12  master result: 28525  slave result: 28525      correct? 1
[7408]  master A: 14800  master B: 22182  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7409]  master A: 14802  master B: 22185  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7410]  master A: 14804  master B: 22188  master ALUControl: 0  master result: 4228  slave result: 4228      correct? 1
[7411]  master A: 14806  master B: 22191  master ALUControl: 1  master result: 28537  slave result: 28537      correct? 1
[7412]  master A: 14808  master B: 22194  master ALUControl: 2  master result: 4294959910  slave result: 4294959910      correct? 1
[7413]  master A: 14810  master B: 22197  master ALUControl: 3  master result: 4294959909  slave result: 37007      correct? 0
[7414]  master A: 14812  master B: 22200  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7415]  master A: 14814  master B: 22203  master ALUControl: 5  master result: 4294934528  slave result: 4294934528      correct? 1
[7416]  master A: 14816  master B: 22206  master ALUControl: 6  master result: 4294934528  slave result: 4294934528      correct? 1
[7417]  master A: 14818  master B: 22209  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7418]  master A: 14820  master B: 22212  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7419]  master A: 14822  master B: 22215  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7420]  master A: 14824  master B: 22218  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7421]  master A: 14826  master B: 22221  master ALUControl: 11  master result: 1  slave result: 1      correct? 1
[7422]  master A: 14828  master B: 22224  master ALUControl: 12  master result: 28476  slave result: 28476      correct? 1
[7423]  master A: 14830  master B: 22227  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7424]  master A: 14832  master B: 22230  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7425]  master A: 14834  master B: 22233  master ALUControl: 0  master result: 4304  slave result: 4304      correct? 1
[7426]  master A: 14836  master B: 22236  master ALUControl: 1  master result: 28456  slave result: 28456      correct? 1
[7427]  master A: 14838  master B: 22239  master ALUControl: 2  master result: 4294959895  slave result: 4294959895      correct? 1
[7428]  master A: 14840  master B: 22242  master ALUControl: 3  master result: 4294959894  slave result: 37082      correct? 0
[7429]  master A: 14842  master B: 22245  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7430]  master A: 14844  master B: 22248  master ALUControl: 5  master result: 4294934531  slave result: 4294934531      correct? 1
[7431]  master A: 14846  master B: 22251  master ALUControl: 6  master result: 4294934531  slave result: 4294934531      correct? 1
[7432]  master A: 14848  master B: 22254  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[7433]  master A: 14850  master B: 22257  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[7434]  master A: 14852  master B: 22260  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[7435]  master A: 14854  master B: 22263  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[7436]  master A: 14856  master B: 22266  master ALUControl: 11  master result: 950784  slave result: 950784      correct? 1
[7437]  master A: 14858  master B: 22269  master ALUControl: 12  master result: 27895  slave result: 27895      correct? 1
[7438]  master A: 14860  master B: 22272  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[7439]  master A: 14862  master B: 22275  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[7440]  master A: 14864  master B: 22278  master ALUControl: 0  master result: 4608  slave result: 4608      correct? 1
[7441]  master A: 14866  master B: 22281  master ALUControl: 1  master result: 27931  slave result: 27931      correct? 1
[7442]  master A: 14868  master B: 22284  master ALUControl: 2  master result: 4294959880  slave result: 4294959880      correct? 1
[7443]  master A: 14870  master B: 22287  master ALUControl: 3  master result: 4294959879  slave result: 37157      correct? 0
[7444]  master A: 14872  master B: 22290  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[7445]  master A: 14874  master B: 22293  master ALUControl: 5  master result: 4294934752  slave result: 4294934752      correct? 1
[7446]  master A: 14876  master B: 22296  master ALUControl: 6  master result: 4294934752  slave result: 4294934752      correct? 1
